"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"395","Moses Brown","Lac","C","23.4","34","8.5","21.5","12.7","72","0.458","96","0.635","0","0","0.635","0.607","4.6","4.1","0.1","0.1","0.4","0.4","8.6","4.7","8.8","5.8","125.9","100.1"
"396","Malachi Flynn","Tor","G","24.9","45","13.2","16.6","8.1","24","0.708","90","0.356","113","0.372","0.468","0.485","4.6","1.4","1.4","0.4","0.1","0.4","6","6","7.5","6.3","108.6","109.7"
"397","Svi Mykhailiuk","Cha","G-F","25.8","8","12.6","15.5","8.5","5","0.4","17","0.412","15","0.467","0.547","0.541","4.6","0.9","0.8","0.1","0.1","0.4","5.5","5.4","6.3","4.7","107.6","118.9"
"398","TyTy Washington Jr.","Hou","G","21.3","30","13.8","17.7","8.3","16","0.625","77","0.494","78","0.218","0.41","0.423","4.6","1.4","1.6","0.4","0.1","0.5","6","6.1","7.5","6.3","97.2","116.1"
"399","Blake Griffin","Bos","F","34","32","14.2","13","12.9","24","0.625","55","0.655","53","0.358","0.597","0.607","4.5","3.5","1.3","0.3","0.2","0.5","8","5.8","9.3","7.7","127.1","98.8"
"400","Justin Holiday","Atl","F-G","33.9","28","14.7","14.1","8.8","0","0","38","0.474","87","0.345","0.504","0.504","4.5","0.8","0.9","0.2","0.4","0.4","5.3","5.4","6.2","4","101.3","113.5"
"401","Moses Moody","Gol","G","20.8","53","13.2","14.7","13.9","49","0.714","74","0.595","118","0.331","0.534","0.562","4.5","1.6","0.8","0.3","0.1","0.6","6.1","5.4","7","5.4","109.7","114.4"
"402","Mo Bamba","Lal","C","24.8","7","11.5","19.2","24.8","11","0.545","9","0.556","15","0.333","0.521","0.537","4.4","5.3","0.6","0.1","0.6","1.1","9.7","5","10.3","8.4","99.6","90.1"
"403","Dalano Banton","Tor","F","23.4","27","9.3","23.3","12.4","19","0.789","67","0.493","46","0.283","0.465","0.494","4.4","1.3","1.1","0.5","0.4","0.6","5.8","5.5","6.9","7.9","102.8","104.4"
"404","Thomas Bryant","Den","C-F","25.6","13","11.9","17.5","14.7","18","0.722","41","0.463","5","0.4","0.478","0.529","4.4","3.6","0.1","0.2","0.4","0.6","8","4.5","8.1","3.9","107.6","103.2"
"405","Jamal Cain","Mia","F","24","15","12.4","14.5","7.4","16","0.75","38","0.632","12","0.167","0.54","0.579","4.4","2.6","0.6","0.5","0","0.3","7","5","7.6","6.1","123.6","105.7"
"406","Jarrett Culver","Atl","G-F","24.1","10","13.7","17.2","13.9","13","0.692","31","0.516","12","0.083","0.407","0.452","4.4","3.8","0.6","0.6","0.2","0.7","8.2","5","8.8","6.3","96.4","106"
"407","Daishen Nix","Hou","G","21.1","47","16.7","15.2","25.2","34","0.676","86","0.43","118","0.305","0.446","0.468","4.4","1.8","2.6","0.6","0.1","1.5","6.2","6.9","8.7","6.6","93.5","115.8"
"408","Thaddeus Young","Tor","F","34.7","54","14.7","13.5","17.5","26","0.692","164","0.622","34","0.176","0.561","0.573","4.4","3.1","1.4","1","0.1","0.8","7.5","5.8","8.9","7.3","116.7","104.6"
"409","James Bouknight","Cha","G","22.5","26","13.6","17.9","13.4","22","0.682","58","0.414","64","0.25","0.393","0.421","4.3","2","1.1","0.5","0.2","0.7","6.2","5.3","7.3","6.2","86.4","110.4"
"410","Christian Braun","Den","G","21.9","64","14.5","12.2","11.2","48","0.625","146","0.555","68","0.412","0.575","0.587","4.3","2.3","0.7","0.4","0.2","0.4","6.6","5","7.3","5.3","118","109.9"
"411","A.J. Green","Mil","G","23.5","32","9.5","16.6","7.6","4","1","18","0.5","91","0.429","0.619","0.627","4.3","1.2","0.6","0.2","0","0.3","5.5","4.9","6.1","6.1","122.7","105.7"
"412","Danuel House Jr.","Phi","F-G","29.8","44","14","12.4","11.7","42","0.714","54","0.685","81","0.346","0.585","0.612","4.3","1.7","0.7","0.2","0.2","0.4","5.9","5","6.6","4.9","117.5","109.2"
"413","Ish Wainright","Pho","F","28.5","52","15.4","12.2","9.6","27","0.852","49","0.49","148","0.345","0.51","0.536","4.3","2.3","1","0.7","0.3","0.4","6.6","5.3","7.6","5.6","116.5","103.1"
"414","Davis Bertans","Dal","F","30.3","38","10.8","15.8","6.5","12","0.833","15","0.733","114","0.377","0.585","0.599","4.2","1.1","0.4","0.3","0.1","0.2","5.3","4.7","5.7","4.5","117.3","109"
"415","Admiral Schofield","Orl","F","26","31","11.9","12.8","5.9","19","0.895","38","0.684","57","0.351","0.589","0.624","4.2","1.7","0.8","0.2","0.1","0.2","5.8","5","6.6","6","134.3","104.1"
"416","Dyson Daniels","Nor","G","20","47","19.1","11.3","21.5","35","0.629","103","0.505","72","0.306","0.486","0.504","4.1","3.3","2.5","0.8","0.2","1","7.4","6.6","9.9","6.8","105","106"
"417","Bruno Fernando","Hou","F-C","24.6","31","11.7","15.1","17.7","44","0.682","92","0.522","1","0","0.516","0.561","4.1","3.9","1","0.2","1","0.6","8","5","9","8.6","118.6","100.3"
"418","Serge Ibaka","Mil","F","33.5","16","11.6","16.1","16.9","13","0.615","36","0.556","18","0.333","0.537","0.553","4.1","2.8","0.3","0.1","0.4","0.7","6.9","4.4","7.1","5.2","105","101.6"
"419","JaVale McGee","Dal","C-F","35.2","37","8","23.5","23","34","0.588","103","0.621","4","0.25","0.612","0.619","4.1","2.5","0.3","0.1","0.6","0.9","6.6","4.4","6.9","7.3","105.5","100.2"
"420","Gary Payton II","Por","G","30.3","15","17.1","9.3","22.5","4","1","24","0.625","17","0.529","0.695","0.713","4.1","2.6","1.5","1","0.1","0.8","6.7","5.5","8.1","5.9","127.3","107.5"
"421","Isaiah Roby","San","F","25.1","42","11.3","17.8","16.6","41","0.488","95","0.516","60","0.3","0.49","0.497","4.1","2.5","0.9","0.4","0.2","0.7","6.6","5","7.5","7.4","96.9","109.7"
"422","Day'Ron Sharpe","Bro","F","21.4","36","11.2","18.7","22.3","28","0.607","113","0.513","9","0.556","0.537","0.551","4.1","3.8","0.8","0.2","0.6","1","7.9","4.9","8.7","8.3","110.9","97.5"
"423","Keon Johnson","Por","G","21","36","9.3","24.8","19","28","0.607","79","0.38","66","0.333","0.434","0.454","4","1.1","1.2","0.4","0.2","0.9","5","5.1","6.2","7.5","88.9","109.4"
"424","Damian Jones","Uta","C","27.7","8","14.9","8.5","22.4","5","0.8","15","0.733","2","1","0.824","0.833","4","3.1","0.5","0","0.8","0.6","7.1","4.5","7.6","4.9","141","103.4"
"425","Meyers Leonard","Mil","F-C","31","6","8.5","14.7","12.2","4","0.75","4","0.75","10","0.5","0.75","0.761","4","2.2","0","0.2","0","0.3","6.2","4","6.2","0","132.7","98.1"
"426","Dewayne Dedmon","Phi","C","33.6","1","4.8","18.6","0","0","0","2","1","0","0","1","1","4","1","1","0","0","0","5","5","6","13.2","205.7","93.8"
"427","Aaron Holiday","Atl","G","26.5","54","13.6","13.3","13.7","28","0.857","114","0.421","75","0.413","0.5","0.529","3.9","1.2","1.2","0.5","0.2","0.6","5.2","5.2","6.4","5.2","108.8","111.4"
"428","Johnny Juzang","Uta","G","22","7","10.2","20.4","5.9","2","0","9","0.333","23","0.304","0.422","0.411","3.9","1","0.1","0.3","0.4","0.3","4.9","4","5","2.9","86","109.8"
"429","Orlando Robinson","Mia","C","22.7","29","13.7","12.6","14.8","29","0.724","81","0.568","5","0","0.535","0.572","3.9","4.1","0.7","0.4","0.4","0.5","8","4.6","8.7","6.5","122.8","99.7"
"430","Matt Ryan","Lal","F","25.9","12","10.8","17.7","5.7","5","0.8","14","0.143","35","0.371","0.439","0.459","3.9","1.2","0.3","0.2","0","0.3","5.1","4.3","5.4","4.1","94.6","107.5"
"431","Jamaree Bouyea","Mia","G","23.7","4","16.3","12.2","23.2","2","0.5","8","0.5","5","0.4","0.538","0.54","3.8","1.3","1","1","0.5","1","5","4.8","6","4.2","93.1","107"
"432","Darius Days","Hou","F","23.4","4","6.3","21.3","0","2","1","2","1","10","0.3","0.542","0.582","3.8","1.5","0.3","0","0.3","0","5.3","4","5.5","7.6","131","113.4"
"433","Caleb Houstan","Orl","G","20.2","40","15.1","10.8","8.3","13","0.846","38","0.447","95","0.379","0.534","0.551","3.8","2.1","0.5","0.2","0.1","0.3","5.9","4.3","6.4","4.2","115.8","110.7"
"434","Furkan Korkmaz","Phi","G-F","25.6","27","9.8","19.5","18.6","30","0.667","46","0.478","37","0.351","0.5","0.535","3.8","1.1","0.7","0.2","0.1","0.7","4.9","4.5","5.6","5.8","99","114.4"
"435","Matt Ryan","Min","F","25.9","20","8.7","16","6.4","7","0.857","10","0.6","48","0.396","0.595","0.614","3.8","0.6","0.6","0.2","0.1","0.2","4.3","4.3","4.9","5.1","121.2","113.7"
"436","Nathan Knight","Min","F-C","25.5","35","8","17.8","20.1","53","0.679","54","0.648","21","0.381","0.627","0.661","3.7","1.5","0.4","0.3","0.2","0.5","5.2","4.1","5.6","6.5","121","104.7"
"437","McKinley Wright IV","Dal","G","24.4","22","12.3","15.2","19","16","0.688","49","0.531","19","0.316","0.515","0.54","3.7","1.8","2.1","0.4","0.2","0.7","5.5","5.8","7.6","7.8","113.9","110.9"
"438","Bismack Biyombo","Pho","C","30.5","50","13.4","13.5","23.3","51","0.314","145","0.566","0","0","0.566","0.538","3.6","3.9","0.9","0.3","1.2","0.9","7.5","4.5","8.4","7","101.9","100.7"
"439","Amir Coffey","Lac","G-F","25.7","45","13.2","13.6","11.3","59","0.78","103","0.427","38","0.263","0.418","0.491","3.6","1.2","1.1","0.2","0.1","0.4","4.8","4.8","5.9","5.1","108.9","111.6"
"440","Bryn Forbes","Min","G","29.7","25","10.7","16.2","12.6","15","1","37","0.432","46","0.304","0.446","0.497","3.6","0.6","0.7","0.3","0.1","0.5","4.2","4.2","4.8","4.3","98.6","112.8"
"441","Luke Kornet","Bos","F-C","27.7","57","11.4","11.2","14","36","0.806","120","0.708","9","0.333","0.694","0.718","3.6","2.8","0.6","0.2","0.7","0.4","6.5","4.3","7.1","6.4","146.9","104.5"
"442","Bryce McGowens","Cha","G","20.4","35","14.6","12.7","15.8","38","0.763","73","0.384","44","0.318","0.419","0.475","3.6","1.7","0.8","0.2","0.1","0.6","5.3","4.4","6.1","4.7","95.6","115.5"
"443","Jordan McLaughlin","Min","G","26.9","33","15.5","11.8","16.7","10","0.9","52","0.596","62","0.258","0.482","0.503","3.6","1.5","3","0.9","0.1","0.7","5.1","6.6","8.2","6.5","115.6","115.5"
"444","Markieff Morris","Bro","F","33.5","27","10.6","15.6","14.5","10","1","33","0.394","49","0.408","0.524","0.556","3.6","2.2","0.9","0.3","0.2","0.5","5.7","4.5","6.7","7.3","110.8","105.2"
"445","Ryan Arcidiacono","Por","G","29","4","15","10.9","20","0","0","5","0.2","7","0.571","0.583","0.583","3.5","1.8","1.8","0.3","0","0.8","5.3","5.3","7","6","109.5","107.7"
"446","Kevon Harris","Orl","G","25.7","28","12.2","13.2","17.1","27","0.815","49","0.429","28","0.393","0.487","0.546","3.5","1.9","0.5","0.5","0.1","0.6","5.4","3.9","5.8","4.9","109.6","107"
"447","Miles McBride","Nyk","G","22.5","56","12","14.3","10.1","38","0.684","67","0.448","119","0.311","0.46","0.486","3.5","0.8","1.1","0.6","0.1","0.4","4.4","4.6","5.5","4.8","108.2","109.9"
"448","Jericho Sims","Nyk","C","24.4","49","15.8","7.6","19.9","16","0.75","103","0.777","1","0","0.769","0.774","3.5","4.7","0.5","0.3","0.6","0.5","8.2","4","8.7","5.1","145.2","103.1"
"449","P.J. Tucker","Phi","F","37.9","65","25.8","6.4","17.4","23","0.826","74","0.473","116","0.397","0.547","0.567","3.5","4","0.8","0.5","0.2","0.6","7.5","4.3","8.3","3.5","119.1","108.1"
"450","Dominick Barlow","San","F","19.8","16","11.7","12.4","19.9","13","0.769","36","0.611","4","0","0.55","0.591","3.4","2.7","0.6","0.3","0.4","0.6","6.1","4","6.7","6","116.5","106.6"
"451","Max Christie","Lal","G","20.1","38","13.3","10.3","10.2","16","0.875","43","0.419","62","0.419","0.543","0.571","3.4","1.9","0.5","0.2","0.2","0.3","5.3","3.9","5.8","4.4","111.5","110.7"
"452","David Duke Jr.","Bro","G","23.4","18","9.6","20.3","18.6","9","0.556","53","0.509","8","0.125","0.467","0.477","3.4","1.1","0.9","0.4","0.1","0.8","4.6","4.3","5.4","6.2","91.9","103"
"453","Taj Gibson","Was","F","37.7","42","9.8","15.2","16.5","38","0.684","87","0.598","19","0.211","0.547","0.579","3.4","2","0.7","0.3","0.3","0.5","5.4","4.1","6.1","6.9","115.5","98.3"
"454","Paul Reed","Phi","F","23.8","55","10","15.4","18.6","29","0.759","140","0.586","4","0","0.569","0.593","3.4","3.3","0.3","0.6","0.7","0.6","6.7","3.7","7","6","118.7","92.4"
"455","Goga Bitadze","Ind","C-F","23.7","21","9.6","15.5","18.7","24","0.458","38","0.605","14","0.286","0.558","0.551","3.3","2.3","0.9","0.4","0.5","0.6","5.6","4.1","6.5","7.9","115.5","102.8"
"456","Usman Garuba","Hou","F","21","62","13.2","10.3","20.6","42","0.595","103","0.524","43","0.535","0.606","0.614","3.3","4.3","0.9","0.6","0.4","0.6","7.5","4.2","8.5","7.1","124.3","104.8"
"457","Christian Koloko","Tor","C","22.7","48","14.1","10.5","12.5","53","0.66","117","0.513","9","0.111","0.488","0.529","3.3","3.1","0.5","0.3","1","0.4","6.4","3.8","6.9","4.9","120","101.5"
"458","Boban Marjanovic","Hou","C","34.6","24","4.8","22.6","15","24","0.75","44","0.705","1","0","0.689","0.72","3.3","1.7","0.2","0.2","0","0.3","5","3.5","5.3","8.7","132.8","114.3"
"459","Wesley Matthews","Mil","G","36.4","41","15.4","10","11.3","20","0.85","25","0.4","100","0.33","0.476","0.508","3.3","2.2","0.5","0.4","0.2","0.4","5.5","3.8","6","4","109.5","105.6"
"460","Kessler Edwards","Sac","F","22.6","9","12.7","12","13.2","4","0.75","9","0.444","17","0.353","0.5","0.522","3.2","2.1","0.6","0.2","0","0.4","5.3","3.8","5.9","5","106.8","107.8"
"461","Anthony Gill","Was","F","30.4","46","10","11.6","10.7","45","0.8","70","0.714","21","0.143","0.599","0.654","3.2","1.5","0.5","0.1","0.2","0.2","4.6","3.6","5.1","5.4","135.5","107.8"
"462","Danny Green","Cle","G","35.7","5","8.1","14.8","22.3","1","1","1","0","9","0.556","0.75","0.766","3.2","0.6","0","0.4","0.2","0.6","3.8","3.2","3.8","0","110.6","104.2"
"463","Richaun Holmes","Sac","F","29.4","35","8.7","12.6","15.8","17","0.824","65","0.677","4","0.75","0.703","0.726","3.2","2","0.1","0.1","0.3","0.4","5.2","3.3","5.3","4","132.8","103.7"
"464","Jason Preston","Lac","G","23.6","13","9.4","18.6","19.6","2","0","23","0.565","18","0.278","0.5","0.489","3.2","1.7","2.1","0.2","0","0.8","4.8","5.2","6.9","9.6","102.4","111.5"
"465","Gorgui Dieng","San","C","33.2","23","9.9","16.8","19.9","6","0.833","24","0.625","48","0.25","0.458","0.476","3.1","2.7","1.4","0.1","0.4","0.8","5.8","4.5","7.2","9.2","102.2","106.8"
"466","Jordan Hall","San","G","21.2","9","9.1","19.6","19.8","9","0.778","13","0.462","15","0.2","0.375","0.438","3.1","1.3","1.2","0.1","0","0.8","4.4","4.3","5.7","7.4","91.3","117.5"
"467","Jake LaRavia","Mem","F","21.4","32","12.1","11.8","16.8","9","0.778","24","0.542","65","0.338","0.517","0.532","3.1","1.9","0.7","0.4","0.1","0.6","5","3.8","5.6","5.3","104.5","102.6"
"468","Josh Minott","Min","F","20.3","13","5.8","18.9","0","6","1","25","0.56","6","0.333","0.548","0.595","3.1","1.7","0.2","0.2","0.5","0","4.8","3.3","5","7","130.7","103.5"
"469","Tyler Dorsey","Dal","G","27.1","3","2.8","27.3","0","0","0","3","1","2","0.5","0.9","0.9","3","0.7","0","0","0","0","3.7","3","3.7","0","",""
"470","Danny Green","Mem","G","35.7","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.6","102.5"
"471","Saben Lee","Phi","G","23.7","2","5.1","31","42.9","0","0","3","1","1","0","0.75","0.75","3","0","1","0.5","0","1.5","3","4","4","0","86.4","105.4"
"472","Raul Neto","Cle","G","30.8","44","10.1","11.9","14","25","0.92","55","0.655","37","0.324","0.587","0.636","3","0.9","1.4","0.4","0.1","0.3","3.9","4.4","5.3","6.2","130.9","105.4"
"473","Trevelin Queen","Ind","G","26.1","7","10","23","19.2","5","1","14","0.357","15","0.133","0.276","0.337","3","2.4","0.9","0.3","0.7","1","5.4","3.9","6.3","7.5","78.9","115.5"
"474","Neemias Queta","Sac","C","23.7","4","6.1","17.3","11.1","2","0","8","0.75","0","0","0.75","0.676","3","2.3","0.3","0","0.3","0.3","5.3","3.3","5.5","8.4","133.7","88.8"
"475","Moussa Diabate","Lac","F","21.2","18","9.5","14.3","18.3","16","0.625","38","0.526","2","0.5","0.538","0.563","2.9","2.5","0.2","0.3","0.3","0.5","5.4","3.1","5.6","4.8","120","110.5"
"476","Juancho Hernangomez","Tor","F","27.5","42","14.6","9.4","11.6","16","0.563","47","0.66","67","0.254","0.496","0.504","2.9","2.9","0.6","0.4","0.1","0.4","5.8","3.5","6.4","4.7","108.3","110.7"
"477","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.6","107.9"
"478","Buddy Boeheim","Det","F","23.3","5","11.8","12.9","0","2","1","1","0","16","0.25","0.353","0.391","2.8","0.6","0.6","0.4","0","0","3.4","3.4","4","3.4","100.1","119.4"
"479","Trent Forrest","Atl","G","24.8","18","13.3","10.8","16.6","3","0.667","48","0.5","2","0","0.48","0.487","2.8","1.6","1.7","0.3","0.1","0.6","4.4","4.5","6.1","5.9","105.1","113.9"
"480","Kai Jones","Cha","C-F","22.2","36","9.4","12.6","18.2","20","0.75","64","0.594","12","0.25","0.559","0.59","2.8","2.2","0.2","0.3","0.5","0.5","5","2.9","5.1","4.6","110.5","103.9"
"481","Frank Kaminsky","Atl","F-C","30","26","6.8","14","16.9","12","0.833","21","0.667","23","0.478","0.693","0.72","2.7","1.4","0.8","0.2","0","0.3","4.1","3.5","4.9","8.5","132.3","105.6"
"482","Robin Lopez","Cle","C","35","34","7.5","15.7","26.7","16","0.75","57","0.649","3","0.667","0.667","0.686","2.7","1.3","0.4","0","0.2","0.6","4","3.1","4.4","6","114.1","101.8"
"483","Terry Taylor","Ind","G","23.5","26","8.8","14.2","12.1","7","0.714","47","0.553","18","0.222","0.492","0.507","2.7","1.5","0.4","0.1","0.2","0.3","4.2","3","4.5","5.3","108.7","112.9"
"484","JT Thor","Cha","F","20.6","58","11.7","12","13.3","31","0.645","80","0.488","76","0.263","0.442","0.466","2.7","1.9","0.4","0.3","0.2","0.4","4.6","3.2","5.1","4.3","97.2","112.7"
"485","Matisse Thybulle","Phi","G-F","26","49","12.1","9.8","6.4","12","0.75","53","0.547","63","0.333","0.522","0.536","2.7","1.3","0.5","0.9","0.3","0.2","3.9","3.1","4.4","4","116.2","103.5"
"486","Juan Toscano-Anderson","Lal","F","29.9","30","12.2","10.4","20.4","15","0.733","46","0.63","20","0.2","0.53","0.558","2.7","2","0.8","0.3","0.2","0.6","4.7","3.5","5.6","5.3","107","104"
"487","Jabari Walker","Por","F","20.6","45","8.7","15","13.2","31","0.742","76","0.513","29","0.241","0.471","0.514","2.7","2","0.5","0.1","0.2","0.4","4.7","3.2","5.2","6.4","112.6","110.6"
"488","Will Barton","Tor","G","32.2","7","9.9","14.7","8.3","0","0","8","0.375","14","0.286","0.409","0.409","2.6","0.7","0.9","0.6","0.1","0.3","3.3","3.4","4.1","4.8","91.5","107.5"
"489","Garrett Temple","Nor","G-F","36.9","16","7.4","14.8","7.6","4","0.75","16","0.375","20","0.45","0.542","0.556","2.6","0.8","0.6","0.4","0.1","0.2","3.4","3.3","4.1","5.8","118","106.5"
"490","Darius Bazley","Pho","F-G","22.8","2","8.5","20.2","12.5","0","0","3","0.333","4","0.25","0.357","0.357","2.5","3","1","0.5","0.5","0.5","5.5","3.5","6.5","9.2","85.2","83.9"
"491","Jared Butler","Okc","G","22.6","2","9.6","13","33.3","0","0","2","0.5","2","0.5","0.625","0.625","2.5","0.5","2","1.5","0","1","3","4.5","5","5.7","104","96.9"
"492","Ron Harper Jr.","Tor","F","22.9","4","3.5","21.1","0","0","0","3","0.667","4","0.5","0.714","0.714","2.5","0.5","0","0","0","0","3","2.5","3","0","",""
"493","James Johnson","Ind","F","36.1","14","8.9","14.5","12.4","6","0.667","23","0.478","12","0.25","0.443","0.465","2.5","1.5","0.7","0.3","0.4","0.4","4","3.2","4.7","6.2","96.3","96.9"
"494","Damian Jones","Lal","C","27.7","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.2","105.3"
"495","Jared Rhoden","Det","G","23.6","6","8.5","12.4","0","2","1","9","0.556","5","0.2","0.464","0.504","2.5","2","0","0.2","0","0","4.5","2.5","4.5","0","123.7","112.2"
"496","Ish Smith","Den","G","34.7","36","9","18.8","27.3","2","0.5","95","0.442","6","0.333","0.446","0.447","2.5","1.3","2.1","0.2","0.2","1.1","3.8","4.6","5.9","8.4","90.2","109.6"
"497","Jeff Dowtin Jr.","Tor","G","25.9","18","8.9","13.3","10.3","4","0.75","32","0.5","11","0.273","0.477","0.492","2.4","0.9","0.9","0.2","0.1","0.3","3.4","3.4","4.3","5.6","110.3","114"
"498","Kenneth Lofton Jr.","Mem","F","20.6","14","3.9","27.2","8.8","5","0.6","24","0.458","7","0.429","0.5","0.512","2.4","0.8","0.7","0.1","0","0.2","3.2","3.1","3.9","11.3","",""
"499","Sandro Mamukelashvili","Mil","F-C","23.8","24","9.1","14.5","13.4","18","0.667","26","0.462","32","0.219","0.388","0.432","2.4","2.3","0.7","0.2","0.2","0.4","4.7","3","5.4","6.9","102.1","104.7"
"500","Nerlens Noel","Det","C-F","28.9","14","10.8","11.9","20.9","10","0.7","28","0.393","2","0.5","0.417","0.465","2.3","2.6","0.5","0.9","0.6","0.6","4.9","2.8","5.4","5.3","92.6","98.7"
"501","Frank Ntilikina","Dal","G","24.6","42","11.6","12.6","20","24","0.667","47","0.489","53","0.208","0.395","0.43","2.3","1.3","1.1","0.3","0.1","0.6","3.5","3.4","4.6","5.1","89.5","108.5"
"502","Scotty Pippen Jr.","Lal","G","22.3","6","5.3","24","14","9","0.556","9","0.333","3","0.333","0.375","0.439","2.3","0.7","0.3","0.3","0.2","0.3","3","2.7","3.3","5.9","92.7","106.9"
"503","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.2","104.8"
"504","Joe Wieskamp","Tor","G-F","23.6","4","6.7","14.4","11.1","0","0","1","0","7","0.429","0.563","0.563","2.3","0.5","0.3","0","0","0.3","2.8","2.5","3","4.2","105.5","114"
"505","Olivier Sarr","Okc","C","24.1","3","10.7","11","11.8","1","1","4","0.75","3","0","0.429","0.47","2.3","2","0","0","1","0.3","4.3","2.3","4.3","0","103.8","103.9"
"506","Omer Yurtseven","Mia","C","24.7","3","8.4","12.1","0","2","0.5","6","0.5","0","0","0.5","0.509","2.3","1.7","0","0","0.3","0","4","2.3","4","0","118.4","91.4"
"507","Khem Birch","Tor","C","30.5","20","8.1","11.1","19.8","5","0.8","30","0.6","2","0.5","0.609","0.629","2.2","1.3","0.4","0.3","0.3","0.4","3.4","2.5","3.8","5.2","113.1","103"
"508","Kennedy Chandler","Mem","G","20.5","30","8.1","15.7","18.6","13","0.462","56","0.482","14","0.143","0.429","0.436","2.2","1.1","1.7","0.4","0.2","0.5","3.3","3.9","4.9","7.9","99.8","109.2"
"509","Kevin Knox II","Por","F","23.6","9","5.1","15.2","0","2","1","8","0.75","7","0.286","0.6","0.63","2.2","1.1","0.1","0.1","0","0","3.3","2.3","3.4","4.9","137.8","104.2"
"510","Dru Smith","Mia","G","25.2","5","13.4","9.9","6.7","0","0","8","0.5","6","0.167","0.393","0.393","2.2","1.8","1","0.8","0.6","0.2","4","3.2","5","4.7","94.3","97.4"
"511","Andre Iguodala","Gol","G-F","39.1","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102.1","108.3"
"512","Jaden Springer","Phi","G","20.5","8","3.7","24.1","7","4","0.75","12","0.583","1","0","0.538","0.576","2.1","1","0.3","0.5","0.3","0.1","3.1","2.4","3.4","9.3","",""
"513","Justin Champagnie","Tor","G-F","21.7","3","3.6","11.7","0","0","0","3","1","0","0","1","1","2","1.3","0.3","0","0","0","3.3","2.3","3.7","10.2","",""
"514","A.J. Lawson","Min","G","22.7","1","1.8","23.7","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"515","Markieff Morris","Dal","F","33.5","5","4.8","18.9","30","0","0","2","1","5","0.4","0.714","0.714","2","0.6","0.2","0.2","0","0.6","2.6","2.2","2.8","5.2","91.9","95.4"
"516","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"517","Terry Taylor","Chi","G","23.5","2","2.9","15.4","0","0","0","2","1","0","0","1","1","2","0","0","0","0","0","2","2","2","0","",""
"518","Juan Toscano-Anderson","Uta","F","29.9","9","11.2","10.8","19.2","0","0","15","0.4","6","0.333","0.429","0.429","2","2.8","1.1","0.3","0.1","0.6","4.8","3.1","5.9","6.5","94.1","103.5"
"519","Stanley Umude","Det","G","23.9","1","2.1","37.9","0","2","1","0","0","1","0","0","0.532","2","0","0","1","1","0","2","2","2","0","",""
"520","Dylan Windler","Cle","G-F","26.5","1","4.1","32.8","33.3","0","0","1","1","1","0","0.5","0.5","2","0","1","1","0","1","2","3","3","0","79.3","104.4"
"521","Udoka Azubuike","Uta","C-F","23.5","26","5.9","11.6","25.6","8","0.25","29","0.828","0","0","0.828","0.769","1.9","2.2","0.2","0.2","0.3","0.4","4.1","2.2","4.3","6.4","124.5","106.5"
"522","Keon Ellis","Sac","G","23.2","10","3.7","14.5","8.9","3","0.667","2","0.5","8","0.625","0.85","0.839","1.9","0.7","0.3","0.2","0.1","0.1","2.6","2.2","2.9","8","",""
"523","Ryan Rollins","Gol","G","20.7","12","5.2","26.1","43.9","6","1","11","0.364","9","0.333","0.425","0.508","1.9","1","0.5","0.1","0.1","1.3","2.9","2.4","3.4","7.6","70.1","101.9"
"524","Greg Brown III","Por","F","21.5","16","5.8","18.4","17.6","12","0.417","21","0.476","7","0.143","0.411","0.421","1.8","1.2","0.2","0.3","0.3","0.4","2.9","1.9","3.1","5.2","79.3","103.5"
"525","Johnny Davis","Was","G","21","15","5.8","16.8","9.2","4","1","23","0.435","6","0.167","0.397","0.439","1.8","0.9","0.2","0.1","0.1","0.2","2.7","2","2.9","4.7","90.6","99.7"
"526","Trevor Hudgins","Hou","G","24","5","5.7","16.6","9.6","3","1","1","0","8","0.25","0.333","0.436","1.8","0","0.6","0","0","0.2","1.8","2.4","2.4","0","102.5","124.2"
"527","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74.1","108.7"
